"SERIES","CUADRO 1.1.1: Producto interno bruto, trimestral, volumen a precios del año anterior encadenadoBC00201","CUADRO 1.1.1: Producto interno bruto, trimestral, volumen a precios del año anterior encadenadoBC00202","CUADRO 1.1.1: Producto interno bruto, trimestral, volumen a precios del año anterior encadenadoBC00203","CUADRO 1.1.1: Producto interno bruto, trimestral, volumen a precios del año anterior encadenadoBC00204"
"DESCRIPCIÓN","PIB total","PIB total ","PIB desestacionalizado","PIB desestacionalizado"
"UNIDAD","Miles de millones de pesos encadenados","Variación porcentual respecto igual período del año anterior","Miles de millones de pesos encadenados","Variación porcentual respecto del período anterior"
"MAR1986","8024.53380456676","_","_","_"
"JUN1986","8332.28086931262","_","_","_"
"SEP1986","7900.22890558487","_","_","_"
"DIC1986","8664.96643773392","_","_","_"
"MAR1987","8811.71079973845","9.80962899955264","_","_"
"JUN1987","8796.14309881882","5.56704984843446","_","_"
"SEP1987","8327.80921385888","5.41225214337452","_","_"
"DIC1987","9113.2630008679","5.17366762301292","_","_"
"MAR1988","9439.42641760888","7.12365205958716","_","_"
"JUN1988","9192.97350790013","4.51141374831197","_","_"
"SEP1988","9022.87820078435","8.34636059828026","_","_"
"DIC1988","9968.03032316573","9.37937731212659","_","_"
"MAR1989","10254.6767609333","8.63665128851089","_","_"
"JUN1989","10486.7693855232","14.0737474823706","_","_"
"SEP1989","9944.76511138943","10.2172155058564","_","_"
"DIC1989","10670.6021476306","7.04825127620392","_","_"
"MAR1990","11081.7518530065","8.06534531857725","_","_"
"JUN1990","10785.651382384","2.85008648395961","_","_"
"SEP1990","9992.30076364624","0.477996732193931","_","_"
"DIC1990","10875.7658587076","1.92270040845345","_","_"
"MAR1991","11335.0758491089","2.28595622301058","_","_"
"JUN1991","11533.0377336373","6.92945029239456","_","_"
"SEP1991","10915.2766941919","9.23687099074891","_","_"
"DIC1991","12287.3232512801","12.9789240676086","_","_"
"MAR1992","12785.8136594028","12.7986599261082","_","_"
"JUN1992","12664.7237757927","9.81255822006621","_","_"
"SEP1992","12277.7999850892","12.4827187534543","_","_"
"DIC1992","13486.9580384666","9.76319058800298","_","_"
"MAR1993","13699.017639143","7.14232198330758","_","_"
"JUN1993","13617.0963206496","7.51988406314333","_","_"
"SEP1993","13066.8197020171","6.42639331057814","_","_"
"DIC1993","14206.8269008707","5.33751836663938","_","_"
"MAR1994","14257.9121080231","4.07981421443736","_","_"
"JUN1994","14377.4077362252","5.58350618716385","_","_"
"SEP1994","13676.5644593483","4.66635930728487","_","_"
"DIC1994","15023.8492908287","5.75091394903851","_","_"
"MAR1995","15304.4361274059","7.3399528027247","_","_"
"JUN1995","15677.082993125","9.03970507579866","_","_"
"SEP1995","15041.7775092769","9.98213443139528","_","_"
"DIC1995","16434.4076855224","9.38879489129883","_","_"
"MAR1996","16471.8697451797","7.62807337725611","16414.862725421","_"
"JUN1996","16699.917827087","6.52439509576207","16569.144098785","0.939888294801694"
"SEP1996","16042.6641820553","6.65404518954722","16724.15530839","0.935541441856169"
"DIC1996","17492.1980930734","6.43643767266881","16945.555044692","1.32383209925664"
"MAR1997","17387.4764430237","5.55860817265107","17320.864324971","2.21479484908678"
"JUN1997","17856.9497297943","6.92836883802292","17685.014970469","2.10238149012585"
"SEP1997","17319.563598647","7.9593975296198","18077.047772711","2.2167513168444"
"DIC1997","19097.5565211513","9.17756830522984","18471.931142596","2.18444612665742"
"MAR1998","18759.3462451266","7.88998798415794","18653.392624218","0.982363350215998"
"JUN1998","19119.3047531353","7.0692645857358","18988.36551389","1.79577461548255"
"SEP1998","18031.7711456457","4.11215642323871","18854.622591954","-0.704341412841281"
"DIC1998","18850.1846868346","-1.29530620340208","18249.510853538","-3.2093548171801"
"MAR1999","18275.4545249059","-2.57947006200423","18242.591783114","-0.0379137308365585"
"JUN1999","18463.2130480632","-3.43156675173826","18289.686072385","0.258155693176199"
"SEP1999","17871.1320835999","-0.890866796989947","18668.815719245","2.07291500444307"
"DIC1999","19842.7215788956","5.26539611441704","19158.689505851","2.62402175892178"
"MAR2000","19416.2863072694","6.24242631453489","19348.976411342","0.993214621662331"
"JUN2000","19606.545964689","6.19249159747832","19388.451845481","0.204018203856293"
"SEP2000","18837.6112702748","5.4080467994624","19683.162000208","1.52002933022057"
"DIC2000","20558.1176509907","3.60533240992492","19913.601270904","1.17074314936576"
